Date,Actual Movement,Predicted Movement
2014-12-01,Rise,Fall
2014-12-02,Rise,Fall
2014-12-03,Fall,Fall
2014-12-04,Fall,Fall
2014-12-05,Fall,Fall
2014-12-08,Rise,Fall
2014-12-09,Rise,Fall
2014-12-10,Rise,Fall
2014-12-11,Fall,Fall
2014-12-12,Fall,Fall
2014-12-15,Rise,Fall
2014-12-16,Rise,Fall
2014-12-17,Rise,Fall
2014-12-18,Fall,Fall
2014-12-19,Rise,Fall
2014-12-22,Fall,Fall
2014-12-23,Fall,Fall
2014-12-24,Rise,Fall
2014-12-26,Fall,Fall
2014-12-29,Fall,Fall
2014-12-30,Fall,Fall
2014-12-31,Fall,Fall
2015-01-02,Fall,Fall
2015-01-05,Rise,Fall
2015-01-06,Rise,Fall
2015-01-07,Rise,Fall
2015-01-08,Fall,Fall
2015-01-09,Fall,Fall
2015-01-12,Rise,Fall
2015-01-13,Fall,Fall
2015-01-14,Fall,Fall
2015-01-15,Rise,Fall
2015-01-16,Rise,Fall
2015-01-20,Fall,Fall
2015-01-21,Rise,Fall
2015-01-22,Fall,Fall
2015-01-23,Rise,Fall
2015-01-26,Fall,Fall
2015-01-27,Rise,Fall
2015-01-28,Fall,Fall
2015-01-29,Fall,Fall
2015-01-30,Rise,Fall
2015-02-02,Rise,Fall
2015-02-03,Rise,Fall
2015-02-04,Rise,Fall
2015-02-05,Fall,Fall
2015-02-06,Rise,Fall
2015-02-09,Rise,Fall
2015-02-10,Rise,Fall
2015-02-11,Rise,Fall
2015-02-12,Fall,Fall
2015-02-13,Rise,Fall
2015-02-17,Fall,Fall
2015-02-18,Fall,Fall
2015-02-19,Fall,Fall
2015-02-20,Rise,Fall
2015-02-23,Fall,Fall
2015-02-24,Fall,Fall
2015-02-25,Rise,Fall
2015-02-26,Rise,Fall
2015-02-27,Rise,Fall
2015-03-02,Fall,Fall
2015-03-03,Fall,Fall
2015-03-04,Fall,Fall
2015-03-05,Rise,Fall
2015-03-06,Fall,Fall
2015-03-09,Fall,Fall
2015-03-10,Rise,Fall
2015-03-11,Rise,Fall
2015-03-12,Fall,Fall
2015-03-13,Rise,Fall
2015-03-16,Rise,Fall
2015-03-17,Fall,Fall
2015-03-18,Fall,Fall
2015-03-19,Fall,Fall
2015-03-20,Rise,Fall
2015-03-23,Fall,Fall
2015-03-24,Fall,Fall
2015-03-25,Rise,Fall
2015-03-26,Fall,Fall
2015-03-27,Rise,Fall
2015-03-30,Fall,Fall
2015-03-31,Rise,Fall
2015-04-01,Rise,Fall
2015-04-02,Fall,Fall
2015-04-06,Fall,Fall
2015-04-07,Rise,Fall
2015-04-08,Rise,Fall
2015-04-09,Fall,Fall
2015-04-10,Rise,Fall
2015-04-13,Fall,Fall
2015-04-14,Rise,Fall
2015-04-15,Fall,Fall
2015-04-16,Fall,Fall
2015-04-17,Rise,Fall
2015-04-20,Fall,Fall
2015-04-21,Rise,Fall
2015-04-22,Rise,Fall
2015-04-23,Rise,Fall
2015-04-24,Rise,Fall
2015-04-27,Fall,Fall
2015-04-28,Rise,Fall
2015-04-29,Fall,Fall
2015-04-30,Rise,Fall
2015-05-01,Fall,Fall
2015-05-04,Fall,Fall
2015-05-05,Rise,Fall
2015-05-06,Rise,Fall
2015-05-07,Rise,Fall
2015-05-08,Fall,Fall
2015-05-11,Rise,Fall
2015-05-12,Rise,Fall
2015-05-13,Rise,Fall
2015-05-14,Fall,Fall
2015-05-15,Rise,Fall
2015-05-18,Fall,Rise
2015-05-19,Fall,Fall
2015-05-20,Rise,Fall
2015-05-21,Rise,Fall
2015-05-22,Fall,Fall
2015-05-26,Rise,Fall
2015-05-27,Fall,Fall
2015-05-28,Fall,Fall
2015-05-29,Rise,Fall
2015-06-01,Fall,Fall
2015-06-02,Rise,Fall
2015-06-03,Fall,Fall
2015-06-04,Rise,Fall
2015-06-05,Fall,Fall
2015-06-08,Fall,Fall
2015-06-09,Rise,Fall
2015-06-10,Fall,Fall
2015-06-11,Fall,Fall
2015-06-12,Rise,Fall
2015-06-15,Rise,Fall
2015-06-16,Fall,Fall
2015-06-17,Rise,Fall
2015-06-18,Fall,Fall
2015-06-19,Rise,Fall
2015-06-22,Fall,Fall
2015-06-23,Rise,Fall
2015-06-24,Fall,Fall
2015-06-25,Fall,Fall
2015-06-26,Fall,Fall
2015-06-29,Rise,Fall
2015-06-30,Rise,Fall
2015-07-01,Fall,Fall
2015-07-02,Fall,Fall
2015-07-06,Fall,Fall
2015-07-07,Fall,Fall
2015-07-08,Fall,Fall
2015-07-09,Rise,Fall
2015-07-10,Fall,Fall
2015-07-13,Fall,Fall
2015-07-14,Rise,Fall
2015-07-15,Rise,Fall
2015-07-16,Fall,Fall
2015-07-17,Rise,Fall
2015-07-20,Fall,Fall
2015-07-21,Fall,Fall
2015-07-22,Rise,Fall
2015-07-23,Fall,Fall
2015-07-24,Fall,Fall
2015-07-27,Rise,Fall
2015-07-28,Fall,Fall
2015-07-29,Fall,Fall
2015-07-30,Fall,Fall
2015-07-31,Fall,Fall
2015-08-03,Fall,Fall
2015-08-04,Rise,Fall
2015-08-05,Rise,Fall
2015-08-06,Rise,Fall
2015-08-07,Rise,Fall
